檢核點代號,檢核點名稱
0,<1.1>脫除外層手套_觸碰手套
1,<1.2>脫除外層手套_影片問答：正確脫除的方式為何？
2,<1.3>脫除外層手套_丟棄手套
3,<1.4>脫除外層手套觸碰另一隻手套
4,<1.5>脫除外層手套_影片問答：正確脫除的方式為何？
5,<1.6>脫除外層手套_丟棄手套
10,<2.1>戴上新的外層手套_協助者遞新的外層手套
11,<2.2>戴上新的外層手套_持有全新的外層手套時該做什麼？
12,<2.3>戴上新的外層手套_問答：如何檢查全新的外層手套？
13,<2.4>戴上新的外層手套_問答：外層手套是否破損？
14,<2.5>戴上新的外層手套_圖片問答：正確戴法為何？
20,<3.1>脫除鞋套_觸碰鞋套
21,<3.2>脫除鞋套_圖片問答：正確脫除方式？
22,<3.3>脫除鞋套_觸碰紅色感染垃圾桶
30,<4.1>脫除外層手套_觸碰左手外層手套
31,<4.2>脫除外層手套_影片問答：正確脫除方式？
32,<4.3>脫除外層手套_觸碰紅色感染垃圾桶
33,<4.4>脫除外層手套_觸碰右手外層手套
34,<4.5>脫除外層手套_影片問答：正確脫除方式？
35,<4.6>脫除外層手套_觸碰紅色感染垃圾桶
40,<5.1>脫除外層防護衣_觸碰綁帶
41,<5.2>脫除外層防護衣_觸碰魔鬼氈
42,<5.3>脫除外層防護衣_觸碰外層防護衣
43,<5.4>脫除外層防護衣_影片問答：正確脫除方式？
44,<5.5>脫除外層防護衣_觸碰紅色感染垃圾桶
50,<6.1>撕除3M膠帶_觸碰3M膠帶
51,<6.2>撕除3M膠帶_觸碰紅色感染垃圾桶
60,<7.1>脫除全包式防護衣_觸碰雙面膠
61,<7.2>脫除全包式防護衣_觸碰拉鍊
62,<7.3>脫除全包式防護衣_觸碰防護衣
63,<7.4>脫除全包式防護衣_影片問答：正確脫除的方式為何？
64,<7.5>脫除全包式防護衣_觸碰紅色感染垃圾桶
70,<8.1>脫除護目鏡_觸碰護目鏡
71,<8.2>脫除護目鏡_觸碰UV傳送箱
80,<9.1>脫除口罩及髮帽_觸碰口罩或髮帽
81,<9.2>脫除口罩及髮帽_觸碰紅色感染垃圾桶
90,<10.1>脫除手術手套_觸碰左手手術手套
91,<10.2>脫除手術手套_影片問答：正確脫除方式？
92,<10.3>脫除手術手套_觸碰紅色感染垃圾桶
93,<10.4>脫除手術手套_觸碰右手手術手套
94,<10.5>脫除手術手套_影片問答：正確脫除方式？
95,<10.6>脫除手術手套_觸碰紅色感染垃圾桶
100,<11.1>洗手_觸碰碘液洗手液
101,<11.2>洗手_圖片排序：標準洗手步驟為何？
102,<11.3>洗手_問答：洗手正確方式
103,<11.4>洗手_觸碰擦手紙
104,<11.5>洗手_觸碰紅色感染垃圾桶
105,<11.6>洗手_移動到門口
